# Combinações base - dinamico
# Gerado em: 20/08/2025 18:28:44
# Total: 10 combinações

Combinação 1: 1,2,3,5,6,7,13,14,16,17,18,19,21,23,25
Combinação 2: 1,2,3,5,6,10,13,14,17,18,19,20,21,23,25
Combinação 3: 1,2,3,5,6,9,11,13,14,17,18,19,21,23,25
Combinação 4: 1,2,3,4,5,6,12,13,14,16,18,19,21,23,25
Combinação 5: 1,2,3,4,5,7,9,10,12,14,17,18,19,22,25
Combinação 6: 1,2,3,5,7,9,10,13,15,18,19,20,22,23,25
Combinação 7: 1,2,3,5,9,10,11,13,15,18,19,20,22,23,24
Combinação 8: 1,2,3,5,6,7,9,11,15,18,19,21,23,24,25
Combinação 9: 1,2,3,5,6,8,9,13,17,18,19,21,22,24,25
Combinação 10: 1,2,3,5,6,9,12,13,16,18,19,20,21,22,23
