N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15
1,2,4,5,6,7,8,9,10,13,14,16,17,20,23
2,3,4,5,6,7,9,10,13,14,16,17,20,23,25
1,2,4,5,6,7,9,10,11,13,14,20,22,24,25
1,2,3,4,5,6,8,9,13,14,16,17,18,20,21
1,2,3,5,6,7,8,9,13,14,16,18,20,21,25
1,2,4,6,7,8,9,10,13,15,17,20,22,23,24
1,2,3,4,5,7,8,9,11,13,14,18,20,21,23
2,3,5,6,7,8,9,10,13,14,16,17,20,23,25
1,3,5,6,8,9,10,11,13,14,16,19,20,23,25
3,4,5,6,7,8,9,10,13,14,16,17,19,20,23
1,3,5,6,7,8,9,11,12,13,14,16,20,21,24
2,3,4,5,6,10,11,13,14,15,17,19,20,22,25
2,3,5,6,7,8,9,11,13,14,15,16,18,20,24
1,3,5,6,7,9,12,13,14,16,18,19,20,23,24
2,3,4,5,7,9,10,11,12,13,15,17,19,23,25
2,3,4,6,9,10,11,13,14,16,17,18,22,23,24
1,4,5,6,7,8,9,13,14,16,18,19,20,22,24
1,5,6,7,9,10,13,14,16,18,20,21,22,23,25
1,2,5,6,9,10,13,14,15,18,19,21,23,24,25
3,5,6,7,9,10,11,13,14,16,17,19,23,24,25
