N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15
1,2,3,5,6,7,10,11,12,14,18,20,21,23,25
1,2,3,4,6,7,9,11,12,13,14,15,16,18,23
1,2,3,5,6,9,11,12,13,15,16,18,20,24,25
2,3,4,5,6,7,9,10,12,15,16,18,21,23,24
1,3,4,5,6,7,8,12,13,14,15,18,21,23,25
1,2,4,5,6,9,10,11,13,17,18,19,22,23,25
1,2,3,4,6,7,13,14,15,16,19,21,22,24,25
2,3,5,6,7,9,11,13,14,15,16,17,20,21,23
1,2,3,6,7,9,11,12,13,15,17,21,22,23,24
1,3,5,6,7,8,9,10,12,14,15,19,21,23,24
1,2,4,5,6,8,10,11,12,15,17,19,22,23,25
1,2,3,5,8,9,11,13,17,18,19,20,21,24,25
2,3,4,5,6,8,9,11,14,16,18,19,22,24,25
2,3,5,6,7,9,10,12,14,15,17,19,21,23,25
1,3,4,5,6,11,13,15,17,18,19,21,22,23,25
