# APOSTAS GERADAS PELA IA AUTÔNOMA LOTOSCOPE
# Data: 2026-01-28 15:45:06
# Neurônios: 48,000
# Melhor algoritmo: pares_impares
#==================================================

2,3,4,6,9,10,12,13,14,15,16,19,20,22,23
2,3,4,7,8,10,14,15,16,18,21,22,23,24,25
1,2,3,4,5,7,8,12,14,16,17,20,22,24,25
1,3,4,6,7,10,12,14,17,18,19,20,21,22,24
1,2,3,4,6,7,8,9,12,13,14,15,18,20,22
1,2,4,7,8,10,12,13,15,17,19,20,21,23,25
1,2,4,7,8,11,12,13,15,17,19,20,21,23,25
1,2,4,7,10,12,13,15,17,19,20,21,22,23,25
2,4,6,7,8,10,12,13,15,17,18,20,21,23,25
1,4,5,7,8,10,13,14,15,17,19,20,21,23,25
